random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__vr__count,Animales__timing__npauses,Animales__timing__nsyll,Animales__timing__pause_duration_mean,Animales__timing__pause_duration_std,Animales__timing__speechrate,Animales__timing__syllable_duration_mean,Animales__timing__syllable_duration_std
3,0,[None],0.8584710743801653,2,446,0.5398028996737351,1,1,1,1,1,1,1,1
3,1,[None],0.9380165289256199,4,410,0.6949969117197965,1,1,0,1,0,0,0,0
3,2,[None],0.9400826446280992,6,385,0.4943018007680264,1,0,1,0,0,0,0,1
9,0,[None],0.9710743801652892,3,19,0.609954769645917,1,0,1,1,1,0,1,1
9,1,[None],0.8491735537190083,4,475,0.7322619478695936,1,1,1,1,1,1,1,1
9,2,[None],0.9070247933884298,1,459,0.5005882127258591,1,1,1,0,0,1,1,0
27,0,[None],0.9121900826446281,5,470,0.43310997043024463,1,1,0,1,1,1,0,0
27,1,[None],0.9225206611570248,1,433,0.6015138967314656,1,0,1,0,1,0,0,1
27,2,[None],0.8801652892561984,1,433,0.5758615950670296,1,1,0,0,0,1,0,0
81,0,[None],0.9524793388429752,6,151,0.46870303946639674,1,1,1,0,0,1,1,1
81,1,[None],0.8595041322314049,8,430,0.007945178400659513,1,0,0,0,0,1,1,0
81,2,[None],0.9576446280991735,3,163,0.729876572159726,1,1,0,0,1,1,0,0
243,0,[None],0.9111570247933884,5,385,0.753055751986615,1,1,0,1,1,1,1,0
243,1,[None],0.9328512396694214,1,16,1.0,1,1,1,0,1,1,0,0
243,2,[None],0.9018595041322314,6,369,0.8987598480537784,1,1,1,0,0,1,1,0
729,0,[None],0.9752066115702479,4,58,0.8632403224497179,1,1,1,1,1,1,1,1
729,1,[None],0.8450413223140496,9,166,0.001,1,1,1,1,1,1,1,1
729,2,[None],0.902892561983471,6,435,0.8038684048222153,1,1,0,0,0,1,0,0
2187,0,[None],0.9111570247933884,2,464,0.8083122591848525,1,1,1,1,0,1,1,1
2187,1,[None],0.9400826446280992,3,163,0.729876572159726,1,1,1,1,1,1,1,0
2187,2,[None],0.8729338842975207,3,19,0.609954769645917,1,1,1,1,1,0,1,1
6561,0,[None],0.9090909090909091,4,136,0.8289087716427774,1,0,1,0,1,1,1,0
6561,1,[None],0.8822314049586777,6,443,0.4727427102367873,1,1,1,0,1,1,1,1
6561,2,[None],0.890495867768595,2,24,1.0,1,1,1,1,1,1,1,1
19683,0,[None],0.9628099173553719,1,433,0.6015138967314656,1,1,1,1,1,1,1,1
19683,1,[None],0.8419421487603305,2,152,0.5252316752006057,1,1,1,0,1,1,1,1
19683,2,[None],0.8212809917355371,2,445,0.7338708959011175,1,1,1,0,1,0,1,0
59049,0,[None],0.9028925619834711,3,205,0.7557955874045056,1,1,0,1,1,0,1,0
59049,1,[None],0.9359504132231405,1,345,0.4150513484610965,1,1,1,1,0,1,1,0
59049,2,[None],0.8419421487603306,2,169,0.9429667942086066,1,0,1,1,0,1,1,0
