random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__timing__npauses,P__timing__npauses,Animales__timing__nsyll,P__timing__nsyll,Animales__timing__pause_duration_mean,P__timing__pause_duration_mean,Animales__timing__pause_duration_std,P__timing__pause_duration_std,Animales__timing__speechrate,P__timing__speechrate,Animales__timing__syllable_duration_mean,P__timing__syllable_duration_mean,Animales__timing__syllable_duration_std,P__timing__syllable_duration_std
3,0,[None],,4,136,0.8289087716427774,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,[None],,3,198,0.8605392575475337,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],,4,29,0.3811019712542123,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,[None],,7,469,0.8949325230772212,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,[None],,4,58,0.8632403224497179,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0,[None],,6,435,0.8038684048222153,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,[None],,7,230,0.7169001217353971,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,2,[None],,3,19,0.6121850528625242,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],,5,470,0.43310997043024463,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,1,[None],,1,17,0.24563213910616066,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,[None],,5,214,0.026393707617351093,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],,4,485,0.9624848476471691,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],,6,385,0.4943018007680264,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,2,[None],,1,16,0.16129575082667183,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,0,[None],,6,86,0.06598654139229423,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,1,[None],,5,1,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],,1,453,0.31013710153558266,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],,8,106,0.18264314223989353,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,1,[None],,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],,1,51,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,0,[None],,3,24,0.2470924358311486,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,1,[None],,1,16,0.6367740008525166,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],,2,204,0.8746850026118311,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,0,[None],,8,106,0.18264314223989353,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],,7,385,0.07497060708235627,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],,3,260,0.6783279034433689,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,8,430,0.003024138121025665,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,1,432,0.701348111743304,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,4,475,0.7322619478695936,1,1,1,1,1,1,1,1,1,1,1,1,1,1
