random_seed,fold,threshold,roc_auc,C,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],0.6198347107438017,0.0001,1,1,1,1,1,0,1
3,1,[None],0.6508264462809916,0.0001,0,0,0,0,0,1,0
3,2,[None],0.6239669421487603,4.063540264076731,1,1,1,1,0,0,1
9,0,[None],0.5971074380165289,25.87807228200353,1,1,0,0,0,0,1
9,1,[None],0.6570247933884298,0.0001,1,0,1,0,0,0,1
9,2,[None],0.5268595041322314,0.0001,0,1,0,0,0,0,0
27,0,[None],0.53099173553719,0.0001,1,1,1,0,0,1,0
27,1,[None],0.5578512396694215,59.86588855385524,0,1,0,0,1,1,1
27,2,[None],0.6570247933884298,0.0001,0,0,0,0,1,0,1
81,0,[None],0.6549586776859505,29.12298489689017,0,1,0,0,1,0,1
81,1,[None],0.44008264462809915,2.0585473711308153,0,0,0,1,1,1,0
81,2,[None],0.5454545454545455,0.0001,1,1,0,1,1,0,0
243,0,[None],0.5929752066115703,8.706691339751247,1,1,0,0,0,0,0
243,1,[None],0.6074380165289256,0.0001,0,0,1,0,0,0,1
243,2,[None],0.6528925619834711,2.7393970954124125,1,0,1,0,1,1,1
729,0,[None],0.5557851239669421,0.0001,0,1,0,0,1,0,0
729,1,[None],0.5991735537190083,0.0001,1,1,1,1,1,1,0
729,2,[None],0.6797520661157025,100.0,0,1,0,0,1,0,1
2187,0,[None],0.7789256198347106,8.398361013182086,1,1,0,0,0,0,1
2187,1,[None],0.5082644628099173,0.0001,0,0,1,1,0,0,1
2187,2,[None],0.5878099173553718,0.0001,1,0,0,0,0,0,0
6561,0,[None],0.6756198347107438,0.0001,0,1,1,0,0,1,0
6561,1,[None],0.6508264462809917,0.0001,1,0,0,0,0,0,1
6561,2,[None],0.5237603305785125,37.45407443072437,1,1,0,0,0,0,1
19683,0,[None],0.6446280991735538,45.60705281470517,1,1,1,0,0,0,0
19683,1,[None],0.6115702479338843,0.0001,0,1,0,0,1,1,1
19683,2,[None],0.5785123966942148,0.0001,1,0,0,0,0,0,0
59049,0,[None],0.5867768595041323,0.0001,0,0,1,0,0,1,1
59049,1,[None],0.6570247933884298,0.0001,1,0,1,0,0,1,1
59049,2,[None],0.6095041322314049,0.0001,0,0,0,0,1,0,0
