reg_param,tol,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level
0.0,0.0001,0,1,0
0.0,0.0001,1,0,0
0.0,0.0001,1,1,0
0.0,0.0001,1,1,1
0.0,0.0001,0,0,1
0.0,0.0001,1,0,1
0.0,0.0001,0,1,1
0.0004,0.4,0,1,0
0.0004,0.4,1,0,0
0.0004,0.4,1,1,0
0.0004,0.4,1,1,1
0.0004,0.4,0,0,1
0.0004,0.4,1,0,1
0.0004,0.4,0,1,1
0.01,0.30000000000000004,0,1,0
0.01,0.30000000000000004,1,0,0
0.01,0.30000000000000004,1,1,0
0.01,0.30000000000000004,1,1,1
0.01,0.30000000000000004,0,0,1
0.01,0.30000000000000004,1,0,1
0.01,0.30000000000000004,0,1,1
0.02,0.4,0,1,0
0.02,0.4,1,0,0
0.02,0.4,1,1,0
0.02,0.4,1,1,1
0.02,0.4,0,0,1
0.02,0.4,1,0,1
0.02,0.4,0,1,1
0.003,0.0007,0,1,0
0.003,0.0007,1,0,0
0.003,0.0007,1,1,0
0.003,0.0007,1,1,1
0.003,0.0007,0,0,1
0.003,0.0007,1,0,1
0.003,0.0007,0,1,1
0.003,0.04,0,1,0
0.003,0.04,1,0,0
0.003,0.04,1,1,0
0.003,0.04,1,1,1
0.003,0.04,0,0,1
0.003,0.04,1,0,1
0.003,0.04,0,1,1
0.0001,0.04,0,1,0
0.0001,0.04,1,0,0
0.0001,0.04,1,1,0
0.0001,0.04,1,1,1
0.0001,0.04,0,0,1
0.0001,0.04,1,0,1
0.0001,0.04,0,1,1
0.003,0.003,0,1,0
0.003,0.003,1,0,0
0.003,0.003,1,1,0
0.003,0.003,1,1,1
0.003,0.003,0,0,1
0.003,0.003,1,0,1
0.003,0.003,0,1,1
0.001,0.007,0,1,0
0.001,0.007,1,0,0
0.001,0.007,1,1,0
0.001,0.007,1,1,1
0.001,0.007,0,0,1
0.001,0.007,1,0,1
0.001,0.007,0,1,1
0.0001,0.0006000000000000001,0,1,0
0.0001,0.0006000000000000001,1,0,0
0.0001,0.0006000000000000001,1,1,0
0.0001,0.0006000000000000001,1,1,1
0.0001,0.0006000000000000001,0,0,1
0.0001,0.0006000000000000001,1,0,1
0.0001,0.0006000000000000001,0,1,1
0.04,0.0008,0,1,0
0.04,0.0008,1,0,0
0.04,0.0008,1,1,0
0.04,0.0008,1,1,1
0.04,0.0008,0,0,1
0.04,0.0008,1,0,1
0.04,0.0008,0,1,1
0.00030000000000000003,0.008,0,1,0
0.00030000000000000003,0.008,1,0,0
0.00030000000000000003,0.008,1,1,0
0.00030000000000000003,0.008,1,1,1
0.00030000000000000003,0.008,0,0,1
0.00030000000000000003,0.008,1,0,1
0.00030000000000000003,0.008,0,1,1
0.00030000000000000003,0.8,0,1,0
0.00030000000000000003,0.8,1,0,0
0.00030000000000000003,0.8,1,1,0
0.00030000000000000003,0.8,1,1,1
0.00030000000000000003,0.8,0,0,1
0.00030000000000000003,0.8,1,0,1
0.00030000000000000003,0.8,0,1,1
0.03,0.7000000000000001,0,1,0
0.03,0.7000000000000001,1,0,0
0.03,0.7000000000000001,1,1,0
0.03,0.7000000000000001,1,1,1
0.03,0.7000000000000001,0,0,1
0.03,0.7000000000000001,1,0,1
0.03,0.7000000000000001,0,1,1
0.0,0.0005,0,1,0
0.0,0.0005,1,0,0
0.0,0.0005,1,1,0
0.0,0.0005,1,1,1
0.0,0.0005,0,0,1
0.0,0.0005,1,0,1
0.0,0.0005,0,1,1
0.03,0.0007,0,1,0
0.03,0.0007,1,0,0
0.03,0.0007,1,1,0
0.03,0.0007,1,1,1
0.03,0.0007,0,0,1
0.03,0.0007,1,0,1
0.03,0.0007,0,1,1
0.02,0.006,0,1,0
0.02,0.006,1,0,0
0.02,0.006,1,1,0
0.02,0.006,1,1,1
0.02,0.006,0,0,1
0.02,0.006,1,0,1
0.02,0.006,0,1,1
0.00030000000000000003,0.04,0,1,0
0.00030000000000000003,0.04,1,0,0
0.00030000000000000003,0.04,1,1,0
0.00030000000000000003,0.04,1,1,1
0.00030000000000000003,0.04,0,0,1
0.00030000000000000003,0.04,1,0,1
0.00030000000000000003,0.04,0,1,1
0.0,0.4,0,1,0
0.0,0.4,1,0,0
0.0,0.4,1,1,0
0.0,0.4,1,1,1
0.0,0.4,0,0,1
0.0,0.4,1,0,1
0.0,0.4,0,1,1
0.003,0.5,0,1,0
0.003,0.5,1,0,0
0.003,0.5,1,1,0
0.003,0.5,1,1,1
0.003,0.5,0,0,1
0.003,0.5,1,0,1
0.003,0.5,0,1,1
0.004,0.04,0,1,0
0.004,0.04,1,0,0
0.004,0.04,1,1,0
0.004,0.04,1,1,1
0.004,0.04,0,0,1
0.004,0.04,1,0,1
0.004,0.04,0,1,1
